cardId,name,cardSet,type,rarity,mechanics_list,mechanics_count,playerClass,faction,cost,health,attack,collectible,race,artist,text,flavor,locale
HERO_05a,Alleria Windrunner,Hero Skins,Hero,Epic,,0,Hunter,,,30,,True,,,,,enUS
HERO_08b,Khadgar,Hero Skins,Hero,Epic,,0,Mage,,,30,,True,,,,,enUS
HERO_04a,Lady Liadrin,Hero Skins,Hero,Epic,,0,Paladin,,,30,,True,,,,,enUS
HERO_01a,Magni Bronzebeard,Hero Skins,Hero,Epic,,0,Warrior,,,30,,True,,,,,enUS
HERO_08a,Medivh,Hero Skins,Hero,Epic,,0,Mage,,,30,,True,,,,,enUS
HERO_02a,Morgl the Oracle,Hero Skins,Hero,Epic,,0,Shaman,,,30,,True,,,,,enUS
HERO_09a,Tyrande Whisperwind,Hero Skins,Hero,Epic,,0,Priest,Neutral,,30,,True,,,,,enUS
CS2_102_H1,Armor Up!,Hero Skins,Hero Power,Free,,0,Warrior,,2,,,,,,"<b>Hero Power</b>
Gain 2 Armor.",,enUS
DS1h_292_H1_AT_132,Ballista Shot,Hero Skins,Hero Power,,,0,Hunter,,2,,,,,,"<b>Hero Power</b>
Deal $3 damage to the enemy hero.",,enUS
CS2_034_H1,Fireblast,Hero Skins,Hero Power,Free,,0,Mage,,2,,,,,,"<b>Hero Power</b>
Deal $1 damage.",,enUS
CS2_034_H2,Fireblast,Hero Skins,Hero Power,Free,,0,Mage,,2,,,,,,"<b>Hero Power</b>
Deal $1 damage.",,enUS
CS2_034_H1_AT_132,Fireblast Rank 2,Hero Skins,Hero Power,,,0,Mage,,2,,,,,,"<b>Hero Power</b>
Deal $2 damage.",,enUS
CS2_034_H2_AT_132,Fireblast Rank 2,Hero Skins,Hero Power,,,0,Mage,,2,,,,,,"<b>Hero Power</b>
Deal $2 damage.",,enUS
CS1h_001_H1_AT_132,Heal,Hero Skins,Hero Power,,,0,Priest,,2,,,,,,"<b>Hero Power</b>
Restore #4 Health.",,enUS
CS1h_001_H1,Lesser Heal,Hero Skins,Hero Power,Epic,,0,Priest,Neutral,2,,,,,,"<b>Hero Power</b>
Restore #2 Health.",,enUS
CS2_101_H1,Reinforce,Hero Skins,Hero Power,Free,,0,Paladin,,2,,,,,,"<b>Hero Power</b>
Summon a 1/1 Silver Hand Recruit.",,enUS
DS1h_292_H1,Steady Shot,Hero Skins,Hero Power,Free,,0,Hunter,,2,,,,,,"<b>Hero Power</b>
Deal $2 damage to the enemy hero.",,enUS
CS2_102_H1_AT_132,Tank Up!,Hero Skins,Hero Power,,,0,Warrior,,2,,,,,,"<b>Hero Power</b>
Gain 4 Armor.",,enUS
CS2_101_H1_AT_132,The Silver Hand,Hero Skins,Hero Power,Free,,0,Paladin,,2,,,,,,"<b>Hero Power</b>
Summon two 1/1 Recruits.",,enUS
CS2_049_H1,Totemic Call,Hero Skins,Hero Power,Free,,0,Shaman,,2,,,,,,"<b>Hero Power</b>
Summon a random Totem.",,enUS
CS2_049_H1_AT_132,Totemic Slam,Hero Skins,Hero Power,,,0,Shaman,,2,,,,,,"<b>Hero Power</b>
Summon a Totem of your choice.",,enUS
CRED_15,Andy Brock,Credits,Minion,Legendary,,0,,,1,3,1,,,,"Can't be <b>Silenced. Divine Shield, Stealth.</b>",,enUS
CRED_21,Bryan Chang,Credits,Minion,Legendary,,0,,,1,3,1,,,,<b>Foodie:</b> Make all minions edible.,,enUS
CRED_06,Derek Sakamoto,Credits,Minion,Legendary,,0,,,1,1,3,,,,<i>The notorious Footclapper.</i>,,enUS
CRED_04,Steven Gabriel,Credits,Minion,Legendary,,0,,,1,3,3,,,,<b>Battlecry:</b> Summon a frothy beverage.,,enUS
CRED_18,Becca Abel,Credits,Minion,Legendary,,0,,,2,2,2,,,,"Whenever you draw a card, make it Golden.",,enUS
CRED_32,Jerry Mascho,Credits,Minion,Legendary,,0,,,2,2,3,,,,"At the start of your turn, deal 1 damage. If this card is golden, deal 1 damage at the end of your turn instead. THIS IS A HAN SOLO JOKE.",,enUS
CRED_46,Keith Landes,Credits,Minion,Legendary,,0,,,2,6,2,,,,"At the start of your turn, get -2 Health due to hunger.",,enUS
CRED_10,Michael Schweitzer,Credits,Minion,Legendary,,0,,,2,2,2,,,,<b>C-C-C-COMBO:</b> Destroy a minion.,,enUS
CRED_12,Rachelle Davis,Credits,Minion,Legendary,,0,,,2,2,1,,,,<b>Battlecry:</b> Draw TWO cards. <i>She's not a novice engineer.</i>,,enUS
CRED_39,Ryan Chew,Credits,Minion,Legendary,,0,,,2,3,2,,,,<b>Chews One</b> - Sing karaoke; or Leave on time and tell everyone about it.,,enUS
CRED_07,Zwick,Credits,Minion,Legendary,,0,,,2,2,2,,,,<b>Battlecry:</b> Complain about bacon prices.,,enUS
CRED_08,Ben Brode,Credits,Minion,Legendary,,0,,,3,1,4,,,,Your volume can't be reduced below maximum.,,enUS
CRED_03,Bob Fitch,Credits,Minion,Legendary,,0,,,3,4,2,,,,<b>Super Taunt</b> <i>(EVERY character must attack this minion.)</i>,,enUS
CRED_20,Brian Birmingham,Credits,Minion,Legendary,,0,,,3,2,4,,,,<b>Choose One</b> - Restore a Mech to full Health; or Give a Designer <b>Windfury.</b>,,enUS
CRED_22,Cameron Chrisman,Credits,Minion,Legendary,,0,,,3,3,3,,,,"While this is in your hand, Golden cards cost (1) less.",,enUS
CRED_26,Eric Del Priore,Credits,Minion,Legendary,,0,,,3,6,1,,,,Has <b>Taunt</b> if it's 3 AM.,,enUS
CRED_27,Henry Ho,Credits,Minion,Legendary,,0,,,3,4,3,,,,<b>Battlecry:</b> Spectate your opponent's hand.,,enUS
CRED_05,Kyle Harrison,Credits,Minion,Legendary,,0,,,3,4,5,,,,<i>3 for a 5/4? That's a good deal!</i>,,enUS
CRED_34,Max Ma,Credits,Minion,Legendary,,0,,,3,3,6,,,,Can only be played on a mobile device.,,enUS
CRED_19,Beomki Hong,Credits,Minion,Legendary,,0,,,4,3,6,,,,<b>Taunt.</b> Friendly minions can't be <b>Frozen.</b>,,enUS
CRED_23,Christopher Yim,Credits,Minion,Legendary,,0,,,4,5,6,,,,"<b>Battlecry:</b> Your emotes are now spoken in ""Radio Voice.""",,enUS
CRED_25,Elizabeth Cho,Credits,Minion,Legendary,,0,,,4,4,2,,,,<b>Battlecry:</b> Add Echo of Medivh and Echoing Ooze to your hand. ,,enUS
CRED_28,He-Rim Woo,Credits,Minion,Legendary,,0,,,4,3,4,,,,<b>Choose One</b> - Punch an arm; Offer a treat; or Give a big hug.,,enUS
CRED_11,Jay Baxter,Credits,Minion,Legendary,,0,,,4,4,1,,,,<b>Battlecry:</b> Summon FIVE random Inventions.,,enUS
CRED_31,Jeremy Cranford,Credits,Minion,Legendary,,0,,,4,4,5,,,,"When the game starts, this card climbs to the top of the deck.",,enUS
CRED_35,Max McCall,Credits,Minion,Legendary,,0,,,4,2,9,,,,Your emotes have no cooldown and can't be squelched.,,enUS
CRED_37,Ricardo Robaina,Credits,Minion,Legendary,,0,,,4,4,3,,,,<b>Battlecry:</b> Summon three 1/1 Chinchillas.,,enUS
CRED_38,Robin Fredericksen,Credits,Minion,Legendary,,0,,,4,4,4,,,,"<b>Battlecry:</b> If you have no other Erics on the battlefield, rename this card to ""Eric"".",,enUS
CRED_40,Ryan Masterson,Credits,Minion,Legendary,,0,Rogue,,4,2,7,,,,"<b>Battlecry:</b> Cast copies of Backstab, Cold Blood, and Eviscerate. <i>(targets chosen randomly).</i>",,enUS
CRED_42,Tim Erskine,Credits,Minion,Legendary,,0,,,4,5,3,,,,"Whenever this minion destroys another minion, draw a card.",,enUS
CRED_44,Walter Kong,Credits,Minion,Legendary,,0,,,4,2,3,,,,<b>Battlecry:</b> Deal 1 damage to each of 2 strategic targets.,,enUS
CRED_29,Jason MacAllister,Credits,Minion,Legendary,,0,,,5,5,6,,,,<i>He's a real stand-up guy.</i>,,enUS
CRED_43,Jon Bankard,Credits,Minion,Legendary,,0,,,5,5,5,,,,50% chance to be 100% right.,,enUS
CRED_41,Seyil Yoon,Credits,Minion,Legendary,,0,,,5,9,2,,,,<b>Battlecry:</b> Add 3 Sprints and a Marathon to your hand.,,enUS
CRED_14,Yong Woo,Credits,Minion,Legendary,,0,,,5,2,3,,,,Your other minions have +3 Attack and <b>Charge</b>.,,enUS
CRED_09,Ben Thompson,Credits,Minion,Legendary,,0,,,6,7,4,,,,<b>Battlecry:</b> Draw some cards. With a pen.,,enUS
CRED_02,Eric Dodds,Credits,Minion,Legendary,,0,,,6,5,5,,,,<b>Battlecry:</b> Summon a 2/2 Pirate and destroy all Ninjas.,,enUS
CRED_01,Jason Chayes,Credits,Minion,Legendary,,0,,,6,6,7,,,,<b>Enrage:</b> Just kidding! He never Enrages.,,enUS
